trial,chunk_action_step,action_values.0,action_values.1,action_values.2,action_values.3,action_values.4,action_values.5,predicted_action_eef_z
8,29,-10.697324752807617,45.540245056152344,-27.597564697265625,-107.09649658203125,-5.764562606811523,78.61244201660156,0.2616586309964227
8,30,-10.621559143066406,45.43871307373047,-27.529827117919922,-107.53887939453125,-5.588007926940918,78.68211364746094,0.26125209264873667
8,31,-11.14271354675293,44.56898880004883,-28.02558135986328,-107.30622863769531,-5.672340393066406,79.18708038330078,0.26118089228497193
8,32,-11.100188255310059,43.88868713378906,-27.88412094116211,-107.8980712890625,-5.586037635803223,80.91030883789062,0.259784652486743
8,33,-11.278342247009277,42.922950744628906,-28.677265167236328,-108.18052673339844,-5.527937889099121,79.92096710205078,0.26002956344078504
8,34,-11.594534873962402,42.52458953857422,-28.252765655517578,-108.20108032226562,-5.637876510620117,80.42678833007812,0.2585863925058153
8,35,-11.502822875976562,40.93898010253906,-28.494991302490234,-108.95458984375,-5.796402454376221,79.55815124511719,0.2566085883018922
8,36,-11.531376838684082,40.16149139404297,-28.840778350830078,-109.48112487792969,-5.901007652282715,78.67631530761719,0.25603910382805795
8,37,-11.316052436828613,39.723846435546875,-29.922985076904297,-108.89675903320312,-5.790858268737793,79.19187927246094,0.25796389339451004
8,38,-11.386215209960938,40.01481246948242,-29.2335205078125,-109.01224517822266,-5.934913635253906,79.30374145507812,0.2568638098845269
8,39,-11.546086311340332,39.06917190551758,-30.341867446899414,-107.96589660644531,-5.555652618408203,78.59512329101562,0.25824884130026504
8,40,-11.683412551879883,38.7655029296875,-30.108253479003906,-108.12415313720703,-5.39694356918335,77.76937866210938,0.257277669151225
8,41,-12.006987571716309,39.56260681152344,-29.694873809814453,-108.01163482666016,-5.570355415344238,74.55828094482422,0.25756845405918827
8,42,-12.641983985900879,40.0623664855957,-28.806312561035156,-108.44340515136719,-5.694796562194824,59.68891906738281,0.2562335202848166
8,43,-12.685491561889648,38.83625793457031,-29.946971893310547,-108.40018463134766,-5.316810607910156,56.59522247314453,0.2569378467191285
8,44,-13.200861930847168,38.90552520751953,-29.648086547851562,-108.29141998291016,-5.333006381988525,57.456443786621094,0.2564421043822817
8,45,-14.511787414550781,40.870994567871094,-30.678905487060547,-107.264404296875,-5.263556480407715,65.19497680664062,0.26162823387932815
8,46,-16.91215705871582,42.18659210205078,-32.845245361328125,-106.0910415649414,-4.104856491088867,72.28128051757812,0.26784284749180887
8,47,-18.338266372680664,41.36876678466797,-34.88885498046875,-104.86892700195312,-3.7823727130889893,66.32622528076172,0.27070453934130995
8,48,-17.79123306274414,40.68303680419922,-34.9069938659668,-105.79869079589844,-4.067645072937012,65.12286376953125,0.2698221613368075
8,49,-9.269746780395508,33.74421691894531,-20.57143783569336,-86.73694610595703,-6.2571611404418945,48.56692123413086,0.23640446636719614
9,0,-14.75788688659668,82.18299865722656,-3.356821060180664,-90.30905151367188,-6.926100730895996,65.01207733154297,0.25812342996781756
9,1,-14.5126371383667,79.88040924072266,-1.8504886627197266,-92.23202514648438,-7.253294944763184,66.49543762207031,0.2534938923884358
9,2,-13.97950267791748,75.79349517822266,-3.829859733581543,-93.64498138427734,-7.282537460327148,68.58741760253906,0.253072606678296
9,3,-14.61095142364502,73.15351104736328,-6.9282426834106445,-93.18235778808594,-7.547163963317871,73.4959716796875,0.2561641491730564
9,4,-14.62483024597168,70.16610717773438,-11.122140884399414,-92.59416198730469,-7.407062530517578,73.28076171875,0.26057632757245774
9,5,-14.58966064453125,65.00257110595703,-16.318706512451172,-92.77083587646484,-7.2777557373046875,75.07107543945312,0.26426886956735474
9,6,-13.241952896118164,61.38924026489258,-25.0482177734375,-92.2643051147461,-6.353524208068848,80.8313980102539,0.27393233901526287
9,7,-12.906719207763672,60.916664123535156,-27.569869995117188,-92.67362213134766,-6.743866920471191,87.60931396484375,0.2770861396414966
9,8,-11.829768180847168,59.3796501159668,-28.72492027282715,-94.42078399658203,-6.775493621826172,87.22638702392578,0.2780537204587063
9,9,-10.740944862365723,58.82404708862305,-28.632137298583984,-95.28852844238281,-6.751621246337891,86.22257232666016,0.27776587357467614
9,10,-10.308667182922363,57.242095947265625,-30.752323150634766,-96.1513442993164,-6.561066627502441,85.64117431640625,0.2796084794392175
9,11,-10.185600280761719,55.928619384765625,-31.81100082397461,-97.12887573242188,-6.507333755493164,85.50181579589844,0.28024194638570593
9,12,-10.005017280578613,54.43795394897461,-32.645076751708984,-97.76917266845703,-6.351160049438477,85.24325561523438,0.28025369771153635
9,13,-9.293407440185547,52.93929672241211,-32.59405517578125,-97.84031677246094,-6.263546943664551,84.53810119628906,0.278777122114892
9,14,-8.979500770568848,51.95986557006836,-32.62675857543945,-99.02088928222656,-6.308040618896484,83.93559265136719,0.27819397313062255
9,15,-9.1544189453125,51.27439498901367,-32.25980758666992,-99.67008209228516,-6.353787422180176,84.34613037109375,0.2770891839733071
9,16,-9.308192253112793,52.61856460571289,-29.979450225830078,-100.62665557861328,-6.557981491088867,83.12841796875,0.27502950153183614
9,17,-9.504405975341797,51.281925201416016,-29.556652069091797,-102.01182556152344,-6.596269607543945,82.67816925048828,0.2729809569806489
9,18,-9.784078598022461,51.4777946472168,-27.60232162475586,-102.84225463867188,-6.5141448974609375,82.06021881103516,0.2697580895743904
9,19,-9.40135383605957,51.08958053588867,-25.926475524902344,-104.4214859008789,-6.496665954589844,81.54077911376953,0.2660087577461282
9,20,-9.133060455322266,49.260414123535156,-26.47573471069336,-104.38270568847656,-6.32613468170166,81.97113037109375,0.2648243923302618
9,21,-8.905821800231934,47.253475189208984,-27.463348388671875,-103.78230285644531,-6.092020034790039,80.93733215332031,0.26432593195853493
9,22,-8.858328819274902,47.86381530761719,-25.368629455566406,-104.00723266601562,-6.133130073547363,80.65898895263672,0.2609818544058023
9,23,-9.144970893859863,47.011993408203125,-25.601844787597656,-103.88192749023438,-5.976654052734375,80.11750793457031,0.2603827336086083
9,24,-9.656078338623047,47.547119140625,-25.68182373046875,-104.00247192382812,-6.056501388549805,77.98922729492188,0.26119733630242875
9,25,-9.475772857666016,47.26085662841797,-26.22368812561035,-104.26373291015625,-6.036654472351074,79.0859375,0.2618439695044611
9,26,-9.825714111328125,46.35085678100586,-25.693782806396484,-105.28436279296875,-5.841137886047363,78.64617156982422,0.25935985031589226
9,27,-10.783523559570312,46.622589111328125,-26.091350555419922,-105.45750427246094,-5.954672813415527,78.5545654296875,0.26047424584330187
9,28,-10.523773193359375,46.07794189453125,-25.94422721862793,-106.78125,-5.672481536865234,78.96441650390625,0.2590633238073204
9,29,-10.697324752807617,45.540245056152344,-27.597564697265625,-107.09649658203125,-5.764562606811523,78.61244201660156,0.2616586309964227
9,30,-10.621559143066406,45.43871307373047,-27.529827117919922,-107.53887939453125,-5.588007926940918,78.68211364746094,0.26125209264873667
9,31,-11.14271354675293,44.56898880004883,-28.02558135986328,-107.30622863769531,-5.672340393066406,79.18708038330078,0.26118089228497193
9,32,-11.100188255310059,43.88868713378906,-27.88412094116211,-107.8980712890625,-5.586037635803223,80.91030883789062,0.259784652486743
9,33,-11.278342247009277,42.922950744628906,-28.677265167236328,-108.18052673339844,-5.527937889099121,79.92096710205078,0.26002956344078504
9,34,-11.594534873962402,42.52458953857422,-28.252765655517578,-108.20108032226562,-5.637876510620117,80.42678833007812,0.2585863925058153
9,35,-11.502822875976562,40.93898010253906,-28.494991302490234,-108.95458984375,-5.796402454376221,79.55815124511719,0.2566085883018922
9,36,-11.531376838684082,40.16149139404297,-28.840778350830078,-109.48112487792969,-5.901007652282715,78.67631530761719,0.25603910382805795
9,37,-11.316052436828613,39.723846435546875,-29.922985076904297,-108.89675903320312,-5.790858268737793,79.19187927246094,0.25796389339451004
9,38,-11.386215209960938,40.01481246948242,-29.2335205078125,-109.01224517822266,-5.934913635253906,79.30374145507812,0.2568638098845269
9,39,-11.546086311340332,39.06917190551758,-30.341867446899414,-107.96589660644531,-5.555652618408203,78.59512329101562,0.25824884130026504
9,40,-11.683412551879883,38.7655029296875,-30.108253479003906,-108.12415313720703,-5.39694356918335,77.76937866210938,0.257277669151225
9,41,-12.006987571716309,39.56260681152344,-29.694873809814453,-108.01163482666016,-5.570355415344238,74.55828094482422,0.25756845405918827
9,42,-12.641983985900879,40.0623664855957,-28.806312561035156,-108.44340515136719,-5.694796562194824,59.68891906738281,0.2562335202848166
9,43,-12.685491561889648,38.83625793457031,-29.946971893310547,-108.40018463134766,-5.316810607910156,56.59522247314453,0.2569378467191285
9,44,-13.200861930847168,38.90552520751953,-29.648086547851562,-108.29141998291016,-5.333006381988525,57.456443786621094,0.2564421043822817
9,45,-14.511787414550781,40.870994567871094,-30.678905487060547,-107.264404296875,-5.263556480407715,65.19497680664062,0.26162823387932815
9,46,-16.91215705871582,42.18659210205078,-32.845245361328125,-106.0910415649414,-4.104856491088867,72.28128051757812,0.26784284749180887
9,47,-18.338266372680664,41.36876678466797,-34.88885498046875,-104.86892700195312,-3.7823727130889893,66.32622528076172,0.27070453934130995
9,48,-17.79123306274414,40.68303680419922,-34.9069938659668,-105.79869079589844,-4.067645072937012,65.12286376953125,0.2698221613368075
9,49,-9.269746780395508,33.74421691894531,-20.57143783569336,-86.73694610595703,-6.2571611404418945,48.56692123413086,0.23640446636719614
